Date,TRDPRC_1
2016-09-10,625.63
2016-09-11,599.1
2016-09-12,607.2
2016-09-13,610.35
2016-09-14,610.32
2016-09-15,608.07
2016-09-16,608.27
2016-09-17,607.69
2016-09-18,610.84
2016-09-19,608.73
2016-09-20,609.27
2016-09-21,596.12
2016-09-22,597.31
2016-09-23,602.54
2016-09-24,603.68
2016-09-25,601.44
2016-09-26,606.77
2016-09-27,603.8
2016-09-28,604.95
2016-09-29,605.68
2016-09-30,607.52
2016-10-01,616.05
2016-10-02,611.04
2016-10-03,611.51
2016-10-04,609.01
2016-10-05,612.73
2016-10-06,611.73
2016-10-07,616.71
2016-10-08,617.49
2016-10-09,615.21
2016-10-10,617.57
2016-10-11,638.1
2016-10-12,635.41
2016-10-13,635.75
2016-10-14,638.74
2016-10-15,636.06
2016-10-16,641.26
2016-10-17,638.29
2016-10-18,634.91
2016-10-19,628.45
2016-10-20,628.76
2016-10-21,630.29
2016-10-22,653.49
2016-10-23,652.85
2016-10-24,650.17
2016-10-25,654.38
2016-10-26,673.91
2016-10-27,679.6
2016-10-28,684.79
2016-10-29,712.89
2016-10-30,696.84
2016-10-31,701.24
2016-11-01,721.82
2016-11-02,731.84
2016-11-03,685.5
2016-11-04,695.14
2016-11-05,702.06
2016-11-06,708.17
2016-11-07,706.3
2016-11-08,712.28
2016-11-09,720.97
2016-11-10,711.24
2016-11-11,714.55
2016-11-12,706.49
2016-11-13,702.15
2016-11-14,705.88
2016-11-15,710.95
2016-11-16,739.35
2016-11-17,736.62
2016-11-18,745.67
2016-11-19,748.84
2016-11-20,726.56
2016-11-21,737.0
2016-11-22,747.38
2016-11-23,740.26
2016-11-24,734.79
2016-11-25,738.23
2016-11-26,735.52
2016-11-27,731.08
2016-11-28,731.91
2016-11-29,732.11
2016-11-30,742.98
2016-12-01,752.76
2016-12-02,772.32
2016-12-03,764.34
2016-12-04,764.46
2016-12-05,756.13
2016-12-06,757.73
2016-12-07,766.47
2016-12-08,769.95
2016-12-09,768.54
2016-12-10,773.63
2016-12-11,767.54
2016-12-12,777.79
2016-12-13,778.57
2016-12-14,776.78
2016-12-15,775.43
2016-12-16,781.6
2016-12-17,789.82
2016-12-18,787.0
2016-12-19,787.06
2016-12-20,794.2
2016-12-21,827.4
2016-12-22,860.13
2016-12-23,909.57
2016-12-24,893.57
2016-12-25,884.59
2016-12-26,886.95
2016-12-27,929.56
2016-12-28,969.76
2016-12-29,965.88
2016-12-30,958.4
2016-12-31,965.73
2017-01-01,1002.45
2017-01-02,1018.05
2017-01-03,1025.17
2017-01-04,1121.5
2017-01-05,984.56
2017-01-06,884.9
2017-01-07,889.08
2017-01-08,898.51
2017-01-09,892.33
2017-01-10,908.89
2017-01-11,784.77
2017-01-12,821.77
2017-01-13,827.02
2017-01-14,818.04
2017-01-15,816.49
2017-01-16,828.64
2017-01-17,900.27
2017-01-18,871.69
2017-01-19,893.85
2017-01-20,896.14
2017-01-21,922.48
2017-01-22,917.68
2017-01-23,922.55
2017-01-24,898.31
2017-01-25,893.63
2017-01-26,913.6
2017-01-27,918.68
2017-01-28,922.13
2017-01-29,915.7
2017-01-30,920.13
2017-01-31,963.04
2017-02-01,979.28
2017-02-02,1005.33
2017-02-03,1015.05
2017-02-04,1029.15
2017-02-05,1010.69
2017-02-06,1027.82
2017-02-07,1048.59
2017-02-08,1050.19
2017-02-09,974.32
2017-02-10,999.05
2017-02-11,1008.11
2017-02-12,995.35
2017-02-13,999.17
2017-02-14,1006.7
2017-02-15,1014.53
2017-02-16,1030.58
2017-02-17,1055.84
2017-02-18,1055.15
2017-02-19,1053.42
2017-02-20,1060.26
2017-02-21,1116.9
2017-02-22,1125.72
2017-02-23,1168.99
2017-02-24,1176.37
2017-02-25,1146.64
2017-02-26,1170.07
2017-02-27,1189.03
2017-02-28,1190.56
2017-03-01,1218.72
2017-03-02,1258.75
2017-03-03,1281.48
2017-03-04,1268.23
2017-03-05,1271.16
2017-03-06,1279.81
2017-03-07,1232.12
2017-03-08,1160.48
2017-03-09,1190.13
2017-03-10,1091.69
2017-03-11,1176.16
2017-03-12,1226.02
2017-03-13,1241.71
2017-03-14,1244.02
2017-03-15,1253.76
2017-03-16,1176.69
2017-03-17,1088.88
2017-03-18,952.12
2017-03-19,1038.6
2017-03-20,1053.58
2017-03-21,1118.13
2017-03-22,1028.57
2017-03-23,1028.54
2017-03-24,934.16
2017-03-25,958.99
2017-03-26,957.48
2017-03-27,1039.5
2017-03-28,1035.88
2017-03-29,1045.84
2017-03-30,1036.66
2017-03-31,1076.45
2017-04-01,1079.07
2017-04-02,1098.98
2017-04-03,1154.3
2017-04-04,1140.8
2017-04-05,1125.27
2017-04-06,1195.5
2017-04-07,1192.73
2017-04-08,1174.19
2017-04-09,1206.53
2017-04-10,1201.67
2017-04-11,1226.44
2017-04-12,1214.12
2017-04-13,1175.87
2017-04-14,1179.72
2017-04-15,1185.67
2017-04-16,1180.94
2017-04-17,1189.22
2017-04-18,1202.86
2017-04-19,1204.73
2017-04-20,1231.55
2017-04-21,1248.83
2017-04-22,1249.68
2017-04-23,1245.94
2017-04-24,1248.34
2017-04-25,1271.13
2017-04-26,1291.25
2017-04-27,1343.32
2017-04-28,1314.27
2017-04-29,1348.08
2017-04-30,1342.57
2017-05-01,1426.37
2017-05-02,1431.03
2017-05-03,1478.93
2017-05-04,1505.5
2017-05-05,1537.23
2017-05-06,1550.08
2017-05-07,1546.6
2017-05-08,1634.43
2017-05-09,1693.94
2017-05-10,1751.33
2017-05-11,1822.91
2017-05-12,1707.58
2017-05-13,1765.27
2017-05-14,1775.57
2017-05-15,1724.98
2017-05-16,1727.94
2017-05-17,1784.73
2017-05-18,1872.04
2017-05-19,1960.4
2017-05-20,2028.5
2017-05-21,2030.95
2017-05-22,2152.68
2017-05-23,2258.14
2017-05-24,2463.02
2017-05-25,2532.36
2017-05-26,2253.35
2017-05-27,2001.48
2017-05-28,2169.0
2017-05-29,2318.17
2017-05-30,2222.41
2017-05-31,2286.33
2017-06-01,2400.39
2017-06-02,2452.02
2017-06-03,2542.67
2017-06-04,2514.01
2017-06-05,2664.83
