,0
2017-09-08,
2017-09-09,-0.0007102098265932016
2017-09-10,0.008617271015763666
2017-09-11,-0.00129812844469004
2017-09-12,-0.006032763735200279
2017-09-13,0.007387645387071223
2017-09-14,-4.644321803952823e-05
2017-09-15,0.00023026289474147434
2017-09-16,0.005114560002924125
2017-09-17,-0.0008770692459926253
2017-09-18,0.00022204707252663813
2017-09-19,-0.0030416101750636777
2017-09-20,-0.004170485032307754
2017-09-21,0.0028726396968216943
2017-09-22,-0.0002877395370886993
2017-09-23,0.0028236841395820277
2017-09-24,-0.0009059312499715952
2017-09-25,0.0031766727449380194
2017-09-26,0.0026279782818937913
2017-09-27,0.0006653337717971229
2017-09-28,0.00434647571300849
2017-09-29,0.0001951668475990251
2017-09-30,-0.0002809196008285847
2017-10-01,0.0038021304556071873
2017-10-02,0.0010616648731499403
2017-10-03,0.0032075308877641436
2017-10-04,0.0043966427414210245
2017-10-05,-0.001271506107127543
2017-10-06,0.001621722289672651
2017-10-07,0.000643369237596228
2017-10-08,-0.0019018753114725744
2017-10-09,0.002879466139657878
2017-10-10,0.004988905120433425
2017-10-11,0.003368458793029879
2017-10-12,0.001247698369167259
2017-10-13,-0.0013509906892899437
2017-10-14,0.0008726391255675209
2017-10-15,-0.0014978151536408034
2017-10-16,0.001286468904839255
2017-10-17,0.0010047077913474044
2017-10-18,0.0011051997984328353
2017-10-19,0.003367528687557486
2017-10-20,-0.001021319779942048
2017-10-21,-0.0006108685820672588
2017-10-22,-0.004986659973763042
2017-10-23,0.0009821937314503876
2017-10-24,-0.004001695173222065
2017-10-25,-0.001794010701804948
2017-10-26,0.0074465125200708785
2017-10-27,0.002885681672826064
2017-10-28,-0.0003887379866597765
2017-10-29,-0.0035975876721768027
2017-10-30,0.002922821174666194
2017-10-31,0.0011100424116730842
2017-11-01,0.0008847916747749252
2017-11-02,0.0049213019748662245
2017-11-03,-0.000328571180032567
2017-11-04,-0.0011795189086428303
2017-11-05,-0.00011348560258705794
2017-11-06,0.003322412428665663
2017-11-07,0.0025985653813761413
2017-11-08,-0.005232473433594028
2017-11-09,-0.0004603860929150001
2017-11-10,-0.003246754394091421
2017-11-11,0.003941143377218973
2017-11-12,0.0028874366311266667
2017-11-13,0.00046544849208410597
2017-11-14,-0.00427165903007156
2017-11-15,0.010889304282503324
2017-11-16,0.000132939671781453
2017-11-17,0.0013286894058395589
2017-11-18,0.0015605922529983798
2017-11-19,-0.0009707236578979333
2017-11-20,0.00801709388508629
2017-11-21,0.002458313090338057
2017-11-22,0.0022230656797967356
2017-11-23,0.004152635682335411
2017-11-24,0.001961264833728195
2017-11-25,0.0012358495273469131
2017-11-26,5.290441439529554e-05
2017-11-27,0.006476709779669523
2017-11-28,-0.0017239928786081998
2017-11-29,0.012222177404079757
2017-11-30,-0.0013707689020582123
2017-12-01,0.0004630840208537662
2017-12-02,0.0009203167462480738
2017-12-03,-0.0025328518689755517
2017-12-04,-0.0007608105407510494
2017-12-05,0.004503810832763238
2017-12-06,0.004052494209475233
2017-12-07,0.004512555982335097
2017-12-08,-0.002168000025929769
2017-12-09,0.006311922865059471
2017-12-10,0.010435099291552464
2017-12-11,-0.0003963654730697646
2017-12-12,0.003047835870329068
2017-12-13,-0.003381002599947971
2017-12-14,0.011368168299133318
2017-12-15,0.0010246977405052803
2017-12-16,0.000880298674212544
2017-12-17,0.0029706101411113525
2017-12-18,-0.0034192287897310217
2017-12-19,-0.0008141563056365388
2017-12-20,-0.001973947454073382
2017-12-21,0.0002002288430251896
2017-12-22,-0.00405048139984229
2017-12-23,0.002457446746854107
2017-12-24,0.004213462660631191
2017-12-25,0.00028633145539623886
2017-12-26,-0.0023212898584188467
2017-12-27,0.003096684772226092
2017-12-28,-0.008729613821286926
2017-12-29,0.002874710625356634
2017-12-30,-0.00022275730285046508
2017-12-31,0.004791308092593341
2018-01-01,0.011052955707945586
2018-01-02,0.005929398524462216
2018-01-03,0.005232353967813327
2018-01-04,0.007402365833193011
2018-01-05,0.0007893523880144064
2018-01-06,-0.0018480410884380509
2018-01-07,0.0042168482022242135
2018-01-08,0.0011171854980217882
2018-01-09,-0.0064754497534716725
2018-01-10,0.010853390771278894
2018-01-11,0.009585170057525197
2018-01-12,-0.0019167521236997064
2018-01-13,-0.00023262570078244374
2018-01-14,-0.008639887253087125
2018-01-15,-0.004804042243990738
2018-01-16,0.00975210892076497
2018-01-17,-0.0022734523258917303
2018-01-18,0.011724356629113062
2018-01-19,-0.005065664164351277
2018-01-20,-0.001559954341646952
2018-01-21,0.009234563660717239
2018-01-22,0.0018945519695341107
2018-01-23,-0.000523305209471444
2018-01-24,0.001735836401702874
2018-01-25,0.0152044347386932
2018-01-26,0.0025158555093334587
2018-01-27,-0.002493539452551292
2018-01-28,-0.008653508160703045
2018-01-29,-0.008674596237488372
2018-01-30,-0.006038173355047301
2018-01-31,-0.0029095720103688725
2018-02-01,-0.013323761715864864
2018-02-02,-0.0032024155662048006
2018-02-03,-0.006345740409186429
2018-02-04,-0.02199178696064815
2018-02-05,0.007726292758322621
2018-02-06,-0.0006418545751621304
2018-02-07,-0.014435874337880385
2018-02-08,0.004722665147404904
2018-02-09,-0.0009154926283806198
2018-02-10,0.0018682902468191724
2018-02-11,0.00414731479121155
2018-02-12,0.004364798451725348
2018-02-13,0.006675775874199348
2018-02-14,0.0061238638905466315
2018-02-15,0.0022233942244565654
2018-02-16,-0.0015604996634024154
2018-02-17,0.001206879346530872
2018-02-18,-0.00021690870248479335
2018-02-19,-0.0062289541090435946
